Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Out of WA,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020-04-15,39,6,266,61,14,258,1,26,29,1,185,0,122,12,163,28,4620,132,14,15,19,2,19,15,0,1,1,1000,13,198,3,1988,278,7,82,2,23,269,12,635
2020-04-16,40,10,283,63,14,265,1,26,34,1,152,0,129,12,164,28,4697,132,14,16,19,2,20,15,0,1,1,1022,13,209,3,2032,286,7,86,2,26,273,13,674
2020-04-17,40,11,295,66,15,277,1,26,34,1,162,0,133,12,165,28,4902,135,14,16,19,2,21,15,0,1,2,1086,13,218,3,2056,298,7,89,2,26,271,14,707
2020-04-18,40,11,306,67,15,277,1,29,34,1,177,0,140,12,165,28,4902,135,14,16,19,2,22,15,0,1,2,1086,15,226,3,2093,302,8,89,2,27,276,15,759
2020-04-19,41,13,313,73,15,277,1,29,34,1,191,0,143,12,166,29,5174,138,14,16,20,2,22,15,0,1,2,1143,15,240,3,2143,307,8,93,2,27,277,15,804
2020-04-20,41,13,314,75,14,296,1,32,32,1,191,0,143,12,166,28,5174,138,14,16,21,2,22,14,0,3,2,1188,15,245,3,2163,313,8,94,2,33,278,13,835
2020-04-21,43,13,326,81,14,306,1,32,59,1,192,0,143,12,166,28,5293,138,14,16,21,2,22,14,0,3,2,1219,15,252,3,2189,315,8,94,2,33,280,13,868
2020-04-22,44,14,338,88,14,313,1,34,61,1,207,0,147,12,168,28,5379,141,14,16,21,2,22,14,0,3,2,1236,15,255,3,2209,317,8,94,2,34,281,13,886
2020-04-23,45,16,365,88,14,291,1,35,63,1,233,0,146,12,160,28,5532,144,14,16,22,2,22,16,0,4,2,1192,14,280,3,2216,320,9,96,2,41,282,13,879
2020-04-24,45,16,383,89,14,293,1,36,69,1,239,0,149,12,160,28,5637,143,14,16,25,2,22,16,0,4,2,1212,14,283,3,2243,330,9,98,2,48,282,14,923
2020-04-25,46,17,399,90,15,296,1,39,70,1,250,0,150,12,161,28,5739,144,14,16,29,2,22,17,0,4,2,1235,14,287,3,2297,345,10,101,2,50,284,14,976
2020-04-26,46,17,405,91,15,297,1,39,72,1,251,0,150,12,160,28,5863,144,14,16,29,2,22,19,0,4,2,1244,14,299,3,2311,347,9,100,2,52,288,14,1015
2020-04-27,46,17,409,93,15,308,1,39,75,1,256,0,152,12,164,28,5945,147,14,16,29,2,23,20,0,4,2,1263,14,305,3,2332,347,9,100,2,55,287,14,1034
2020-04-28,46,17,415,96,17,313,1,39,75,1,265,0,155,12,168,28,6001,148,15,16,29,2,23,21,0,4,2,1293,14,308,3,2365,350,9,100,2,57,293,14,1046
2020-04-29,47,17,422,98,18,317,1,41,77,1,276,0,155,12,168,28,6103,148,14,16,29,2,23,21,0,4,2,1306,14,322,3,2389,353,9,104,2,62,294,14,1082
2020-04-30,47,18,430,108,18,321,1,45,78,1,279,0,159,12,168,28,6207,149,14,17,29,2,23,22,0,4,2,1322,14,329,3,2433,357,9,105,2,67,302,14,1128
2020-05-01,47,18,461,113,18,327,1,47,79,1,309,0,163,12,169,28,6274,150,15,17,29,2,25,21,0,4,2,1339,14,337,3,2453,367,9,106,2,76,305,14,1203
2020-05-02,48,18,494,114,18,328,1,53,82,1,348,0,169,12,169,28,6351,150,15,17,29,2,25,21,0,4,2,1376,14,345,3,2493,366,9,111,2,87,312,14,1272
2020-05-03,48,18,518,118,19,328,1,53,82,1,363,0,170,12,169,28,6449,150,15,18,29,2,26,21,0,4,2,1393,14,354,3,2509,369,9,111,2,88,316,14,1296
2020-05-04,48,18,532,120,18,336,1,59,84,1,377,0,180,12,169,28,6545,150,14,18,29,2,26,21,0,4,2,1414,14,357,3,2537,372,9,113,2,92,317,14,1372
2020-05-05,48,18,537,125,19,337,1,60,84,1,379,0,180,12,168,28,6621,150,14,17,29,2,26,21,0,4,2,1433,14,364,3,2549,373,9,113,2,93,318,14,1389
