Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-04-15,964,2,7,16,9,3,615,2,35,251,4,51,117,17,533,13,5,0,10517,33,171,0,4,76,0,23,100,38,34,1376,0,129,4,1961,853,39,977,1930,1013,341,120,747,313,1793,96,25,0,5,140,160,163,24,1,0,352,2,365,102,15
2020-04-16,1007,2,7,16,11,3,631,2,35,265,4,52,127,17,565,13,6,0,10854,33,184,0,4,79,0,23,108,39,34,1425,0,130,4,2105,879,41,996,2012,1019,365,125,767,334,1833,96,25,0,5,141,163,177,24,1,0,372,2,384,116,15
2020-04-17,1063,2,7,16,11,3,648,2,36,295,4,52,143,17,578,18,6,0,11400,33,187,0,4,82,0,23,119,44,34,1501,0,130,4,2457,896,44,1032,2087,1058,371,127,797,354,1870,98,26,0,5,169,172,187,24,1,0,382,2,396,125,15
2020-04-18,1114,2,7,16,12,3,685,2,36,311,4,52,155,18,610,20,6,0,12021,33,187,0,5,86,0,23,119,47,36,1556,0,131,4,2457,914,44,1219,2158,1137,400,131,838,373,1870,101,26,0,5,169,180,206,25,1,0,397,2,416,126,15
2020-04-19,1164,2,7,16,12,3,693,2,36,315,4,52,155,18,623,28,6,0,12341,34,189,0,5,90,0,23,136,47,36,1636,0,132,4,2638,925,44,1286,2213,1157,415,132,838,385,1870,104,26,0,5,169,180,221,25,1,0,411,2,422,137,16
2020-04-20,1193,1,7,16,12,3,707,2,36,315,4,52,160,18,643,30,6,0,13823,34,195,0,5,90,0,24,141,48,36,1676,0,132,4,2847,940,44,1406,2268,1216,428,132,920,394,1922,106,26,0,5,180,181,226,26,1,0,422,2,428,137,16
2020-04-21,1241,1,7,16,12,3,749,2,38,351,4,52,175,18,671,32,6,0,15153,36,199,0,5,92,0,24,148,48,38,1691,0,133,4,2847,954,44,1489,2325,1231,449,134,935,416,1922,108,26,0,5,180,182,232,26,1,0,422,2,443,142,16
2020-04-22,1242,2,8,16,12,3,763,2,39,371,4,52,195,19,683,32,6,0,16447,36,200,0,5,93,0,24,150,54,38,1753,0,133,4,2960,971,45,1489,2491,1233,460,134,958,429,1962,111,26,0,5,181,192,236,26,1,0,441,2,451,146,16
2020-04-23,1352,2,8,16,13,3,770,2,40,419,5,52,232,19,699,35,6,0,17537,39,209,0,5,100,0,24,154,57,36,1827,0,136,4,3218,987,47,1608,2643,1302,487,149,966,451,1987,114,28,0,5,191,194,251,44,1,0,453,2,465,151,16
2020-04-24,1403,2,8,16,13,3,786,2,42,443,5,53,251,19,735,47,6,0,18545,39,212,0,11,102,0,24,169,58,37,1845,0,139,4,3315,1019,47,1666,2826,1340,495,163,989,460,2018,115,30,0,5,199,217,264,44,1,0,472,2,476,157,16
2020-04-25,1439,2,8,16,13,3,805,2,42,443,5,53,251,19,755,47,6,0,19133,39,212,0,11,102,0,24,169,60,37,1969,0,139,4,3315,1019,47,1666,2943,1354,505,165,1019,469,2040,115,30,0,5,199,217,264,44,1,0,491,3,476,157,16
2020-04-26,1470,2,8,16,13,3,817,3,42,458,5,53,251,19,809,52,6,0,19567,40,223,0,11,103,0,24,183,60,37,2074,0,141,4,3563,1037,47,1732,2943,1408,512,166,1019,469,2084,120,30,0,5,199,218,286,45,1,0,504,3,497,161,16
2020-04-27,1500,2,8,16,13,3,820,3,42,458,5,53,281,19,828,67,6,0,20423,41,224,0,11,108,0,24,183,64,37,2126,0,143,4,3643,1045,47,1772,3043,1424,528,169,1080,471,2105,124,30,0,5,199,220,294,45,1,0,532,3,503,161,16
2020-04-28,1533,2,8,16,13,3,842,3,44,498,5,53,284,19,847,71,6,0,20996,44,224,1,11,116,0,26,185,66,39,2151,0,145,4,3735,1053,48,1827,3141,1468,529,173,1099,473,2122,125,30,0,5,249,222,312,29,1,0,578,4,508,162,16
2020-04-29,1568,2,8,16,13,3,862,3,44,538,5,54,319,19,866,79,6,0,22485,46,226,1,12,118,0,26,191,67,41,2252,0,145,4,3942,1068,50,1928,3432,1490,540,181,1136,485,2134,127,31,0,5,254,228,339,30,1,0,626,4,517,163,17
2020-04-30,1603,2,8,16,13,3,891,3,44,538,5,54,319,19,893,96,6,0,23220,46,235,3,12,125,0,26,206,67,41,2393,0,147,4,4031,1077,50,2058,3432,1499,543,184,1177,485,2163,131,31,0,5,263,232,339,30,1,0,640,4,535,164,18
2020-05-01,1636,2,8,16,13,3,907,3,47,615,5,54,333,19,939,123,7,0,24262,46,237,13,12,134,0,26,213,68,41,2537,0,150,4,4079,1090,51,2113,3564,1523,557,188,1197,506,2179,132,31,0,5,266,244,380,31,1,0,680,4,544,169,19
2020-05-02,1706,2,8,16,13,3,934,3,47,615,5,54,358,19,969,146,7,0,24894,46,239,13,12,140,0,26,222,70,41,2636,0,159,4,4079,1107,51,2182,3711,1543,560,196,1233,506,2205,134,31,0,5,266,248,380,31,1,0,720,4,559,169,19
2020-05-03,1749,2,8,16,13,3,945,3,47,633,5,54,358,19,1005,158,7,0,25699,51,240,13,12,140,0,26,235,70,41,2743,0,159,4,4180,1117,51,2182,3927,1602,570,201,1233,514,2231,137,31,0,5,266,252,411,31,1,0,743,4,566,171,19
2020-05-04,1776,2,8,17,13,3,947,3,47,633,5,54,368,19,1016,172,7,0,26225,51,240,14,12,143,0,26,235,74,41,2819,0,162,4,4354,1127,51,2182,3927,1624,574,202,1281,514,2244,137,31,0,5,267,257,411,31,1,0,757,4,577,171,19
2020-05-05,1809,2,8,17,13,3,969,3,53,672,5,54,400,19,1045,198,8,0,27836,54,241,14,12,147,0,26,237,75,41,2873,0,162,4,4454,1133,52,2329,4020,1728,578,204,1315,526,2255,138,31,0,5,320,261,428,31,1,0,858,4,595,171,19
2020-05-06,1863,2,8,18,13,3,985,3,54,777,5,55,419,19,1073,233,8,0,28665,55,247,15,12,152,0,27,241,78,41,3004,0,163,4,4672,1142,53,2432,4319,1754,579,208,1341,613,2268,138,31,0,5,337,272,461,31,1,0,916,2,608,172,19
2020-05-07,1917,2,8,18,13,3,999,3,54,777,5,55,455,19,1133,233,8,0,29511,55,247,15,12,155,0,28,247,78,41,3092,0,165,4,4756,1153,53,2562,4319,1806,581,211,1377,613,2281,139,31,0,5,337,286,461,31,1,0,969,2,631,172,19
2020-05-08,1961,2,8,18,13,3,1014,3,54,813,6,55,512,19,1166,244,8,0,30319,62,255,15,12,157,0,28,250,78,41,3240,0,165,4,4756,1160,54,2629,4429,1853,597,211,1397,722,2290,140,31,0,5,342,292,476,31,1,0,1013,2,652,172,20
2020-05-09,2023,2,8,18,13,3,1036,3,54,841,6,55,512,19,1228,265,8,0,31241,66,257,15,12,163,0,29,267,78,41,3380,0,168,4,4992,1165,55,2902,4662,1891,605,214,1425,1250,2307,141,31,0,5,351,300,488,32,1,1,1079,2,666,172,20
2020-05-10,2064,2,8,18,13,3,1048,3,54,885,6,57,512,19,1254,275,8,0,31703,67,259,15,12,163,0,29,279,79,41,3502,0,169,4,4992,1167,55,2902,4776,1943,612,220,1425,1250,2339,141,31,0,5,351,309,496,33,1,1,1140,2,666,172,20
2020-05-11,2101,2,8,20,13,3,1048,3,56,945,6,61,564,19,1286,319,8,0,32263,67,265,15,12,173,0,32,279,79,41,3557,0,170,4,5189,1173,56,3015,5065,1954,621,226,1464,1362,2341,141,32,0,5,379,309,508,34,1,1,1159,2,678,174,21
2020-05-12,2133,2,8,20,13,3,1066,3,60,984,6,64,603,19,1316,319,8,0,33211,69,271,15,12,177,0,32,299,81,41,3602,0,170,4,5248,1181,58,3078,5161,1977,629,227,1497,1371,2362,146,32,0,5,388,312,517,34,1,2,1241,2,700,177,23
2020-05-13,2178,2,9,20,13,3,1080,4,60,984,6,64,647,19,1343,325,8,0,34538,69,271,15,12,180,0,33,299,81,41,3749,0,170,4,5248,1183,58,3153,5161,1994,638,232,1515,1371,2364,146,32,0,5,388,333,517,35,1,2,1268,2,725,177,23
2020-05-14,2234,2,9,22,13,3,1089,4,62,1074,9,68,712,19,1393,348,8,0,35392,69,279,15,13,189,0,33,308,83,41,3968,0,172,4,5440,1194,59,3198,5391,1999,644,237,1536,1387,2391,149,33,0,5,408,337,537,37,1,1,1295,2,748,182,25
2020-05-15,2367,2,9,22,13,3,1100,4,64,1074,9,68,786,19,1428,358,8,0,36316,69,279,15,13,189,0,33,317,83,41,4125,0,174,4,5618,1211,59,3311,5391,2026,659,240,1575,1387,2391,149,33,0,5,408,351,537,37,1,1,1338,2,764,182,25
2020-05-16,2351,2,9,22,13,3,1121,4,64,1156,9,72,786,19,1473,372,8,0,37360,70,299,15,13,200,0,33,322,90,41,4222,0,174,4,5618,1222,60,3463,5662,2054,670,243,1602,1418,2418,157,33,0,5,410,364,559,37,2,1,1426,2,764,183,25
2020-05-17,2392,2,9,22,13,3,1146,8,64,1192,9,77,786,19,1515,399,8,0,38011,71,317,15,14,200,0,34,341,90,41,4376,0,175,4,5618,1237,61,3511,5836,2091,689,243,1602,1474,2453,159,34,0,5,410,373,571,38,2,1,1430,2,764,184,25
2020-05-18,2457,2,10,24,13,3,1155,8,67,1192,9,77,876,19,1537,399,10,0,38458,71,317,15,14,216,0,34,341,92,41,4434,0,175,4,5952,1245,61,3593,5836,2131,699,246,1671,1474,2453,163,34,0,6,410,387,571,40,2,1,1436,2,825,184,26
2020-05-19,2522,2,10,26,13,3,1192,13,67,1287,12,86,902,19,1571,416,11,0,39573,81,336,15,14,222,0,34,349,92,41,4500,0,177,4,6053,1250,63,3707,6026,2179,709,247,1687,1517,2483,165,34,0,6,430,391,593,40,2,1,1539,2,837,185,28
2020-05-20,2560,2,10,30,13,4,1209,15,67,1338,12,88,985,19,1605,416,12,0,40895,82,343,15,15,226,0,34,349,94,41,4742,0,176,4,6184,1255,64,3795,6140,2185,716,249,1697,1520,2492,168,34,0,6,435,411,598,40,2,1,1552,2,858,185,28
2020-05-21,2609,2,10,31,13,4,1234,15,67,1338,12,88,1076,19,1644,457,12,0,42037,82,343,15,15,234,0,34,355,95,41,4841,0,176,4,6343,1266,64,3984,6140,2198,733,251,1738,1520,2492,174,34,0,6,435,433,598,40,2,1,1603,2,883,185,28
2020-05-22,2708,2,10,34,13,5,1259,20,67,1372,12,88,1076,19,1695,488,12,0,43070,83,352,15,21,251,0,34,362,96,41,4941,0,184,4,6464,1272,66,4146,6315,2320,752,253,1783,1540,2492,186,34,1,6,449,444,611,40,3,1,1641,2,912,186,28
2020-05-23,2760,2,10,34,13,5,1296,23,74,1417,12,93,1145,19,1757,506,12,2,44121,82,369,15,21,251,0,34,371,101,41,5157,0,185,4,6464,1289,69,4315,6559,2350,752,259,1833,1551,2571,192,36,1,6,455,467,621,40,3,1,1641,2,937,190,28
2020-05-24,2847,2,10,34,13,5,1321,23,74,1448,12,93,1145,19,1824,517,12,2,45017,84,388,15,21,251,0,34,395,101,41,5336,0,184,4,6464,1293,70,4365,6559,2367,752,258,1833,1551,2617,192,36,1,6,455,482,629,40,3,1,1641,3,961,190,28
2020-05-25,2874,2,10,34,13,5,1336,37,78,1482,12,93,1274,19,1871,647,12,4,46023,84,403,15,21,261,0,34,413,101,41,5469,0,185,4,7004,1302,72,4365,6701,2386,752,259,1833,1551,2652,200,36,1,6,455,500,646,40,3,1,1641,3,982,194,28
2020-05-26,2986,2,10,40,14,5,1353,40,78,1482,12,94,1352,19,1876,688,14,4,47845,85,417,16,22,268,0,34,429,109,41,5578,0,188,4,7139,1310,76,4567,6797,2399,771,263,1904,1551,2675,200,36,1,6,455,515,659,42,3,1,1771,3,1017,198,28
2020-05-27,3049,2,10,40,15,5,1375,40,80,1535,13,98,1352,19,1941,698,19,4,48761,90,420,16,23,273,0,35,429,109,41,5646,0,194,4,7139,1319,76,4567,6882,2408,771,263,1963,1604,2688,205,37,1,6,499,524,670,42,4,1,1796,4,1038,200,28
2020-05-28,3097,2,10,40,15,5,1384,44,84,1658,14,98,1443,19,2007,704,23,5,49860,94,436,16,25,280,0,35,469,111,41,5744,0,196,4,7341,1349,85,4914,7100,2437,842,268,2022,1636,2701,206,37,1,6,509,530,683,42,4,1,1835,4,1062,207,28
2020-05-29,3195,2,10,44,15,5,1404,44,84,1658,14,98,1634,20,2076,714,23,5,51678,98,436,16,30,280,0,35,477,111,41,5923,0,199,4,7486,1373,85,5034,7100,2473,858,269,2061,1636,2707,206,37,1,7,509,531,683,42,4,1,1844,4,1078,207,29
2020-05-30,3289,2,10,44,15,5,1426,45,90,1714,16,99,1634,20,2145,735,21,5,53746,104,450,16,30,283,0,35,509,112,41,6100,0,214,4,7486,1400,87,5200,7385,2532,858,269,2104,1649,2731,212,37,1,7,517,548,699,43,4,1,1844,4,1078,210,30
2020-05-31,3390,2,19,44,15,5,1450,45,90,1743,16,101,1634,20,2250,746,21,5,55001,106,483,16,30,283,0,37,530,112,41,6261,0,215,4,7486,1400,87,5246,7481,2588,858,269,2104,1649,2776,213,39,1,7,517,553,744,46,4,1,1844,4,1078,211,30
2020-06-01,3470,2,10,51,15,7,1468,46,96,1743,16,101,1751,20,2322,1122,21,5,56011,106,483,16,30,283,0,37,545,113,41,6474,0,217,4,7982,1429,87,5355,7481,2570,908,271,2165,1649,2776,217,39,1,7,517,564,744,46,4,1,1897,4,1152,211,30
2020-06-02,3515,2,10,51,15,7,1506,46,96,1882,17,102,1798,20,2376,1137,26,5,57219,114,501,16,30,301,0,37,571,113,42,6574,0,228,4,8155,1439,88,5501,7554,2587,982,278,2188,1669,2819,217,39,1,8,546,566,750,46,5,1,2004,4,1164,213,30
2020-06-03,3548,2,10,55,15,7,1513,47,96,1914,17,103,2025,20,2418,1168,30,5,58261,117,506,16,30,310,0,37,586,124,48,6678,0,240,4,8155,1463,90,5650,7674,2613,1080,279,2212,1697,2832,219,40,1,9,547,579,767,46,6,1,2026,4,1190,213,31
2020-06-04,3641,2,10,60,16,7,1547,47,98,1944,17,104,2493,20,2462,1187,30,5,59692,129,525,16,33,310,0,37,621,126,49,6783,0,259,4,8303,1490,96,5650,7798,2644,1024,288,2244,1714,2850,219,40,1,9,559,593,792,48,6,1,2083,5,1216,216,31
2020-06-05,3725,2,10,65,19,7,1577,47,102,2014,17,104,2568,20,2534,1452,30,6,61068,141,530,16,33,320,0,37,640,129,49,7064,0,265,4,8777,1519,102,5930,7940,2698,1050,291,2299,1737,2892,221,42,1,9,565,610,816,51,7,2,2116,5,1261,216,31
2020-06-06,3805,2,10,65,19,7,1633,47,106,2080,18,104,2568,22,2650,1483,30,6,62382,155,551,16,33,334,0,37,667,141,50,7321,0,275,4,8777,1537,105,6040,8345,2712,1118,291,2330,1787,2920,226,42,1,9,566,624,840,55,8,2,2116,7,1274,221,32
2020-06-07,3805,2,10,65,19,7,1668,47,106,2122,18,104,2568,22,2720,1492,30,6,63844,163,571,16,33,334,0,37,732,141,50,7440,0,284,4,8777,1569,105,6040,8345,2747,1161,291,2330,1787,2942,231,42,1,12,566,642,865,55,8,2,2116,7,1303,221,32
2020-06-08,3945,2,10,68,19,7,1706,47,109,2122,19,105,3013,22,2794,1538,30,8,64690,172,589,16,36,334,0,38,751,153,50,7527,0,294,4,9206,1588,107,6247,8619,2779,1195,299,2394,1817,2973,234,46,1,12,590,653,937,65,9,2,2220,7,1341,225,32
2020-06-09,3985,2,10,71,19,7,1774,47,111,2216,19,105,3133,22,2870,1576,30,8,65945,172,635,16,36,367,0,38,763,157,50,7614,0,304,4,9590,1624,109,6417,8619,2793,1259,302,2437,1817,3017,235,46,1,13,590,664,937,65,11,2,2381,7,1381,226,32
2020-06-10,4033,2,10,73,21,7,1798,47,111,2318,23,105,3386,22,2942,1637,30,9,67111,178,635,16,36,387,0,38,791,161,50,7737,0,314,4,9911,1642,109,6593,8837,2809,1309,306,2475,1864,3032,239,47,1,14,617,671,1023,67,12,2,2432,7,1404,227,33
2020-06-11,4232,2,10,73,25,7,1829,47,111,2395,23,105,3405,22,3016,1688,31,9,68959,188,651,16,36,391,0,37,814,163,52,7987,0,327,4,10240,1670,109,6742,8998,2840,1388,317,2494,1910,3063,249,48,1,14,643,680,1072,69,12,2,2475,8,1466,240,34
2020-06-12,4216,2,10,74,25,7,1877,47,113,2395,24,105,3724,22,3130,1724,32,9,70529,188,664,16,38,391,0,37,865,168,52,8153,0,344,4,10490,1704,112,6976,8998,2878,1444,324,2533,1910,3117,254,48,1,14,643,701,1072,69,20,2,2564,8,1518,240,34
2020-06-13,4217,2,10,74,26,7,1921,47,113,2547,24,106,4157,23,3195,1759,32,9,72057,198,697,16,38,409,0,37,899,183,52,8269,0,358,4,10490,1716,121,7161,9314,2906,1547,324,2533,1971,3157,255,49,1,15,657,722,1110,83,21,2,2564,8,1534,252,35
2020-06-14,4320,2,10,74,26,7,1959,47,113,2547,24,106,4157,23,3281,1759,32,9,73018,198,730,16,38,409,0,37,949,183,52,8573,0,372,4,10490,1753,125,7359,9440,2928,1652,324,2553,1971,3197,257,50,1,16,657,752,1212,86,21,2,2564,9,1567,253,35
2020-06-15,4373,2,11,82,26,7,1983,47,117,2706,32,106,4298,24,3367,1831,34,9,73832,226,751,17,38,409,0,37,995,190,55,8759,0,390,5,11285,1794,129,7515,9610,2952,1716,347,2594,2069,3230,257,51,1,18,685,758,1242,88,27,2,2664,9,1633,255,36
2020-06-16,4481,2,12,88,26,7,2026,48,118,2788,34,107,4389,24,3452,1831,34,9,75162,250,772,17,47,470,0,37,1015,199,57,8999,0,411,5,11694,1825,129,7796,9730,2971,1749,356,2625,2115,3254,260,51,1,20,687,765,1267,89,28,2,2664,9,1655,265,37
2020-06-17,4533,2,12,90,26,7,2071,48,121,2788,34,107,4478,24,3512,1870,34,9,77260,275,842,18,47,470,0,37,1075,202,57,9197,0,432,5,11951,1892,140,8014,9730,2982,1888,376,2653,2115,3288,269,51,1,20,687,774,1267,89,28,2,2881,9,1706,265,37
2020-06-18,4638,2,12,90,26,7,2111,48,125,3058,42,108,4659,24,3590,1976,34,9,78348,295,861,18,54,538,0,37,1121,206,71,9292,0,460,6,12467,1940,153,8454,10092,3020,1927,389,2678,2253,3363,273,62,1,21,811,803,1322,97,32,2,3004,9,1753,302,39
2020-06-19,4702,2,12,94,28,7,2148,48,130,3187,42,108,4744,24,3706,2057,34,9,79655,314,917,18,54,564,0,37,1156,216,75,9576,0,476,6,12778,1976,161,8714,10350,3057,1926,404,2721,2319,3398,283,76,1,21,860,822,1473,99,34,2,3046,9,1835,310,41
2020-06-20,4924,2,13,94,28,7,2240,48,130,3245,42,110,4800,24,3793,2057,35,9,81709,314,1030,18,54,564,0,37,1181,224,75,9988,0,490,6,12778,2069,164,8959,10484,3058,2519,404,2721,2319,3458,286,80,1,22,860,835,1514,101,34,2,3046,10,1865,321,42
2020-06-21,4924,2,13,94,28,7,2294,48,130,3245,42,110,4800,24,3890,2091,35,11,83414,314,1110,18,54,616,0,37,1225,224,75,10422,0,502,6,12778,2160,170,9156,10794,3058,2519,404,2721,2319,3547,296,81,1,23,860,853,1599,101,34,2,3046,12,1946,330,42
2020-06-22,5007,2,22,111,28,7,2369,48,145,3485,42,112,4800,25,3965,2158,40,11,86017,334,1250,18,62,661,0,40,1291,239,82,10595,0,519,6,13800,2243,181,9361,11096,3185,2400,442,2825,2446,3606,296,86,1,24,933,885,1639,161,53,2,3177,12,2030,347,43
2020-06-23,5267,2,16,119,29,11,2454,49,150,3672,66,113,5270,27,4049,2158,41,15,88512,359,1349,21,62,710,0,40,1341,239,92,10737,0,534,6,14431,2374,185,10010,11294,3219,2560,453,2901,2509,3727,322,88,1,25,1020,935,1714,125,54,2,3434,14,2161,366,43
2020-06-24,5275,2,19,127,29,14,2523,49,153,3892,74,122,5549,27,4108,2234,41,15,89633,370,1470,21,72,741,0,40,1397,251,92,11016,0,556,7,14905,2440,191,10407,11626,3249,2742,473,2961,2590,3832,330,92,1,26,1064,956,1789,127,59,2,3533,15,2260,386,49
2020-06-25,5382,2,20,133,29,16,2576,49,158,4053,87,127,5744,27,4182,2284,42,89,91577,383,1573,22,74,791,0,40,1416,258,101,11511,0,579,7,15142,2512,194,10769,11961,3297,2884,489,2996,2631,3888,337,96,1,26,1094,974,1871,140,62,2,3646,22,2287,408,51
2020-06-26,5493,2,20,143,32,17,2676,49,158,4374,87,129,5838,29,4300,2298,42,172,93391,415,1636,23,76,824,0,40,1429,270,108,11960,0,593,7,15643,2666,198,11290,12401,3400,3031,508,3049,2742,3984,344,97,1,26,1118,1006,1940,147,62,2,3705,22,2336,438,57
2020-06-27,5493,2,20,143,32,17,2688,50,158,4474,87,129,6041,27,4340,2318,45,220,95385,415,1746,23,76,824,0,40,1444,270,108,12462,0,611,7,15643,2666,205,11290,12837,3468,3093,508,3083,2712,3984,349,101,1,27,1118,1006,2000,152,62,2,3705,22,2444,458,61
2020-06-28,5670,2,21,143,32,17,2802,50,158,4474,87,129,6041,30,4478,2318,51,220,97918,415,1936,23,76,824,0,40,1548,270,108,12608,0,627,7,15643,2776,205,11501,13334,3512,3093,508,3083,2712,4162,349,105,1,27,1118,1092,2115,160,62,2,3705,28,2527,479,65
2020-06-29,5762,2,22,168,32,35,2971,50,178,4811,103,133,6187,31,4548,2394,56,229,100958,488,2210,25,76,824,0,41,1605,310,113,13064,0,643,8,16634,3004,213,11797,13832,3561,3291,567,3141,2896,4265,349,112,1,28,1126,1118,2165,176,75,2,3872,28,2740,505,71
2020-06-30,5964,2,22,168,32,46,3132,50,178,4811,103,133,6242,31,4655,2394,60,229,103850,488,2210,26,78,979,0,42,1642,317,113,13843,0,684,9,17296,3223,213,12550,14149,3603,3856,611,3232,2896,4370,379,112,1,28,1126,1136,2165,176,75,2,4156,28,2926,505,71
2020-07-01,6156,2,24,189,40,59,3248,51,198,5289,115,133,6523,32,4768,2504,79,233,105665,541,2394,27,85,1131,0,42,1691,333,117,14413,0,724,10,18041,3397,239,12746,14623,3648,3914,642,3311,2896,4572,399,129,1,31,1402,1185,2310,197,82,2,4323,30,3096,555,94
2020-07-02,6384,2,26,206,53,70,3326,51,206,5626,122,138,6824,32,4939,2583,85,234,107792,566,2446,27,85,1208,0,41,1748,344,123,15065,0,754,11,18720,3559,257,13152,15207,3719,4298,675,3376,3261,4750,410,135,1,31,1476,1229,2391,206,88,2,4521,43,3240,583,103
2020-07-03,6472,2,26,206,53,70,3432,51,206,5626,122,144,6979,33,5100,2583,85,234,107806,566,2710,27,85,1272,0,41,1791,344,123,15778,0,786,11,19450,3559,257,13676,15696,3776,4474,701,3441,3261,4849,417,135,1,31,1476,1267,2391,206,88,2,4627,43,3240,583,103
2020-07-04,6556,2,31,206,53,70,3564,58,226,5851,122,144,7039,33,5130,2600,87,242,107826,578,2719,27,85,1272,0,45,1915,376,129,16191,0,828,11,19450,4004,265,13676,15696,3776,4474,701,3536,3261,5077,455,148,1,31,1476,1359,2531,243,88,2,4627,43,3240,613,106
2020-07-05,6855,2,31,206,53,70,3662,58,226,6110,122,144,7039,33,5245,2634,87,242,115024,578,2719,27,85,1272,0,45,2064,376,129,16854,0,877,11,19450,4236,273,14922,16726,3776,4474,701,3536,3261,5273,457,154,1,31,1476,1359,2660,252,88,2,4627,43,3240,677,106
